Temperatur;Luftdruck 
69,017;9,75
79,459;9,702
70,49;9,711
68,85;9,725
73,144;9,751
78,818;9,741
75,312;9,753
78,17;9,702
75,569;9,714
78,797;9,704
71,011;9,751
77,718;9,722
74,112;9,727
67,589;9,72
74,961;9,751
71,566;9,758
67,401;9,74
71,552;9,726
79,251;9,728
69,891;9,75
78,486;9,746
67,7;9,712
74,385;9,744
77,157;9,702
75,793;9,717
72,328;9,712
71,801;9,712
78,359;9,73
67,639;9,747
76,298;9,741
65,757;9,7
69,631;9,752
69,862;9,759
79,101;9,753
72,633;9,704
69,377;9,753
78,937;9,743
79,386;9,746
77,994;9,737
65,114;9,702
74,768;9,727
73,422;9,735
69,76;9,746
79,993;9,7
66,749;9,71
74,063;9,749
71,507;9,732
76,116;9,758
75,531;9,704
73,899;9,759
77,85;9,703
69,479;9,743
75,726;9,76
75,886;9,747
77,126;9,76
70,273;9,748
70,128;9,751
66,303;9,743
73,454;9,71
75,934;9,741
77,059;9,758
70,221;9,704
74,264;9,752
78,472;9,758
66,038;9,752
66,981;9,7
72,938;9,701
68,88;9,717
69,143;9,715
70,032;9,737
67,231;9,703
70,089;9,736
77,068;9,712
67,808;9,734
69,029;9,724
69,186;9,751
71,207;9,736
70,952;9,718
68,617;9,745
74,136;9,705
76,107;9,76
74,084;9,742
78,419;9,716
76,687;9,718
77,08;9,721
73,633;9,708
70,856;9,734
66,097;9,731
69,659;9,755
66,468;9,718
68,934;9,701
72,611;9,726
70,84;9,72
72,147;9,725
76,115;9,733
66,557;9,741
66,182;9,755
73,274;9,712
68,729;9,736
71,067;9,716
78,327;9,742
67,77;9,741
66,399;9,735
77,203;9,711
79,128;9,731
65,339;9,741
74,108;9,757
67,349;9,756
66,43;9,738
75,92;9,707
78,91;9,732
65,339;9,702
76,838;9,745
70,964;9,706
78,899;9,759
79,469;9,704
78,242;9,755
75,362;9,746
77,389;9,711
76,838;9,735
69,062;9,727
69,43;9,721
69,955;9,754
65,409;9,722
71,435;9,73
66,337;9,731
66,394;9,747
79,364;9,732
79,689;9,736
70,173;9,748
71,39;9,745
77,943;9,712
71,874;9,756
75,688;9,757
79,674;9,727
75,985;9,713
69,41;9,724
75,782;9,751
67,513;9,717
78,269;9,71
76,367;9,741
71,114;9,76
79,337;9,743
69,04;9,74
70,329;9,76
75,46;9,717
79,787;9,702
74,226;9,709
75,723;9,741
72,013;9,75
78,706;9,731
69,042;9,712
79,63;9,71
66,809;9,746
66,036;9,71
79,693;9,701
77,023;9,751
74,296;9,752
78,039;9,714
68,067;9,743
66,08;9,71
73,094;9,724
73,474;9,754
74,08;9,757
73,291;9,747
79,725;9,726
73,318;9,747
71,537;9,703
73,452;9,722
73,638;9,752
66,268;9,748
72,651;9,73
68,172;9,76
65,246;9,756
67,759;9,737
68,072;9,742
69,538;9,741
79,572;9,701
65,407;9,724
78,645;9,75
65,926;9,734
75,905;9,73
71,398;9,733
73,224;9,755
77,978;9,724
70,211;9,755
68,83;9,718
71,453;9,741
74,138;9,748
67,736;9,756
68,016;9,714
73,835;9,705
72,101;9,753
70,984;9,718
68,056;9,705
68,682;9,731
73,193;9,746
68,229;9,753
73,577;9,754
69,29;9,732
76,351;9,718
77,064;9,711
66,182;9,716
66,585;9,744
73,654;9,723
75,646;9,702
70,495;9,76
66,626;9,748
73,288;9,737
65,449;9,71
78,265;9,759
78,305;9,73
69,682;9,7
74,41;9,751
76,068;9,716
78,077;9,711
78,566;9,704
74,104;9,713
72,152;9,739
68,229;9,719
79,987;9,744
74,756;9,76
77,368;9,712
76,465;9,751
68,938;9,718
67,346;9,754
75,74;9,716
67,375;9,726
73,712;9,719
78,547;9,715
66,476;9,724
68,776;9,753
72,177;9,714
74,941;9,756
79,414;9,705
79,075;9,754
71,08;9,744
65,535;9,759
78,455;9,747
77,758;9,731
70,954;9,711
78,585;9,729
71,577;9,715
76,149;9,725
73,749;9,728
68,881;9,738
73,398;9,759
77,488;9,759
72,237;9,758
73,352;9,755
77,92;9,728
78,067;9,749
78,459;9,707
73,418;9,755
79,26;9,726
75,609;9,712
72,321;9,744
77,58;9,759
73,477;9,705
78,592;9,738
75,155;9,727
70,597;9,716
75,599;9,737
77,688;9,714
65,848;9,709
77,086;9,717
71,173;9,727
75,56;9,738
79,906;9,757
76,208;9,729
65,475;9,751
77,555;9,705
75,99;9,706
79,941;9,723
71,761;9,738
65,985;9,734
69,491;9,724
67,958;9,735
66,981;9,715
67,158;9,714
72,964;9,753
66,652;9,757
75,146;9,749
72,395;9,703
76,753;9,733
71,195;9,739
70,553;9,757
73,839;9,731
66,149;9,707
69,464;9,714
76,826;9,727
68,128;9,713
74,889;9,734
79,399;9,7
78,2;9,714
72,058;9,74
74,525;9,704
78,221;9,75
70,929;9,742
76,279;9,758
73,255;9,723
68,116;9,729
78,881;9,73
70,079;9,756
72,311;9,707
71,69;9,737
75,569;9,739
73,647;9,744
74,864;9,759
68,957;9,706
66,725;9,758
67,485;9,751
73,609;9,759
65,133;9,706
72,756;9,751
71,854;9,719
78,07;9,735
77,87;9,735
76,904;9,748
75,319;9,729
79,002;9,754
77,469;9,757
70,048;9,735
70,514;9,701
77,643;9,702
75,124;9,713
75,573;9,736
70,07;9,732
72,067;9,707
76,342;9,745
72,874;9,753
79,208;9,723
70,322;9,719
70,569;9,714
71,472;9,719
66,698;9,741
72,538;9,733
70,026;9,748
72,143;9,737
75,436;9,714
68,648;9,742
67,706;9,731
77,992;9,737
65,706;9,75
73,548;9,725
78,006;9,701
73,065;9,719
70,512;9,746
73,976;9,704
76,333;9,721
65,93;9,739
65,387;9,713
69,909;9,74
73,437;9,705
79,947;9,718
72,409;9,713
73,34;9,715
75,897;9,737
79,627;9,722
79,815;9,739
78,385;9,736
67,845;9,722
73,138;9,706
74,725;9,726
71,864;9,712
67,675;9,74
69,78;9,751
70,181;9,701
78,994;9,709
77,302;9,755
78,977;9,734
72,156;9,733
74,614;9,709
65,756;9,705
72,758;9,708
74,768;9,726
68,062;9,703
75,918;9,703
79,552;9,742
71,995;9,718
66,302;9,732
78,505;9,744
73,762;9,744
67,912;9,746
74,605;9,743
74,326;9,746
66,591;9,747
76,45;9,758
66,953;9,754
69,468;9,7
75,904;9,727
72,439;9,759
66,539;9,756
70,775;9,701
74,81;9,753
65,7;9,76
74,289;9,757
68,848;9,717
75,355;9,725
78,647;9,728
76,373;9,704
68,418;9,72
70,526;9,751
74,137;9,749
65,574;9,715
74,31;9,72
76,667;9,728
68,301;9,739
70,503;9,71
65,139;9,748
78,749;9,758
67,155;9,71
76,702;9,752
74,165;9,722
65,896;9,758
69,493;9,719
74,879;9,744
70,675;9,717
72,737;9,73
79,321;9,727
66,424;9,721
71,454;9,707
78,5;9,71
78,833;9,711
69,931;9,757
65,39;9,752
73,995;9,743
77,567;9,712
79,381;9,755
79,712;9,708
77,664;9,736
68,903;9,741
73,769;9,759
66,827;9,7
66,17;9,714
65,206;9,723
70,266;9,744
67,275;9,718
68,899;9,746
79,253;9,758
70,611;9,732
76,868;9,754
77,758;9,737
67,891;9,725
79,643;9,705
72,793;9,734
68,308;9,713
79,363;9,727
69,01;9,723
67,514;9,71
67,971;9,759
77,213;9,752
69,073;9,706
79,392;9,708
73,111;9,711
78,711;9,715
70,737;9,708
71,935;9,723
74,247;9,714
75,374;9,74
67,829;9,737
68,919;9,744
65,46;9,752
78,174;9,711
68,322;9,708
78,97;9,735
69,07;9,715
78,48;9,722
70,768;9,76
66,289;9,706
67,807;9,746
71,162;9,738
71,639;9,74
79,289;9,73
67,618;9,755
68,58;9,748
77,224;9,71
71,681;9,728
75,115;9,706
78,453;9,717
75,957;9,757
72,877;9,716
74,833;9,756
67,578;9,738
71,782;9,753
75,735;9,727
78,657;9,746
66,426;9,719
75,164;9,755
75,08;9,711
73,033;9,733
74,063;9,705
66,461;9,716
71,03;9,724
77,674;9,716
69,908;9,709
65,599;9,749
66,519;9,721
73,749;9,728
65,947;9,739
78,898;9,754
68,419;9,729
65,627;9,712
70,237;9,717
65,929;9,736
72,606;9,726
78,036;9,747
68,964;9,753
75,33;9,705
69,345;9,737
76,737;9,706
68,551;9,73
72,24;9,74
67,193;9,744
74,526;9,714
79,543;9,711
75,257;9,709
77,173;9,742
69,214;9,743
75,039;9,714
72,172;9,758
78,407;9,746
78,687;9,713
66,505;9,707
75,087;9,71
68,504;9,702
69,692;9,709
68,923;9,747
65,734;9,756
66,904;9,721
71,309;9,728
73,833;9,709
74,333;9,726
69,954;9,707
71,199;9,705
78,121;9,741
68,273;9,755
70,766;9,705
77,824;9,7
72,658;9,73
68,043;9,736
67,184;9,703
68,467;9,742
69,199;9,751
77,58;9,711
74,861;9,741
72,215;9,75
77,472;9,717
79,026;9,708
65,3;9,719
68,954;9,703
75,602;9,722
66,37;9,755
68,755;9,755
72,672;9,724
78,826;9,705
76,393;9,76
66,282;9,709
69,019;9,721
72,817;9,733
72,361;9,717
78,044;9,759
75,651;9,726
79,997;9,703
65,649;9,738
78,961;9,756
75,609;9,717
79,412;9,742
70,092;9,753
68,908;9,7
79,868;9,704
67,973;9,714
77,627;9,705
71,477;9,735
73,25;9,72
66,906;9,717
66,287;9,741
79,965;9,712
75,293;9,731
71,81;9,71
72,307;9,721
65,958;9,754
70,417;9,728
70,706;9,71
67,525;9,752
71,362;9,734
76,707;9,731
67,173;9,703
67,628;9,73
68,451;9,704
65,087;9,735
76,104;9,743
73,293;9,738
79,802;9,747
73,52;9,717
65,964;9,723
75,604;9,749
71,077;9,705
69,829;9,717
71,248;9,717
70,611;9,701
74,363;9,728
74,694;9,723
72,789;9,706
75,115;9,756
68,865;9,742
74,897;9,737
72,795;9,702
73,827;9,709
73,544;9,731
67,821;9,71
68,964;9,719
73,077;9,733
78,205;9,722
76,191;9,732
74,174;9,711
68,891;9,746
74,318;9,71
70,619;9,701
76,986;9,723
73,285;9,75
73,279;9,755
74,839;9,701
68,558;9,754
66,295;9,745
75,907;9,706
73,633;9,729
77,727;9,721
78,517;9,708
76,055;9,738
71,589;9,745
78,218;9,732
67,648;9,746
71,106;9,703
75,629;9,753
71,265;9,718
70,151;9,721
73,875;9,732
75,338;9,71
75,614;9,743
77,757;9,749
69,421;9,752
74,868;9,746
72,093;9,75
78,002;9,758
71,466;9,758
73,828;9,705
67,037;9,702
67,948;9,751
74,139;9,729
68,618;9,721
79,839;9,733
70,021;9,737
66,638;9,725
76,735;9,745
66,379;9,731
78,788;9,734
69,421;9,708
73,576;9,74
66,574;9,76
78,228;9,705
66,734;9,76
73,441;9,745
77,45;9,73
77,779;9,703
79,831;9,744
79,513;9,703
74,651;9,735
65,546;9,721
71,73;9,725
65,681;9,731
76,109;9,708
66,375;9,758
65,993;9,727
68,516;9,743
67,418;9,714
74,186;9,727
68,635;9,743
65,102;9,756
74,766;9,72
75,959;9,723
67,397;9,712
75,27;9,731
73,211;9,709
70,15;9,727
69,702;9,736
72,41;9,757
72,805;9,758
74,316;9,709
70,998;9,708
74,087;9,7
74,244;9,727
71,58;9,742
71,063;9,702
69,397;9,729
78,958;9,736
74,843;9,711
77,238;9,756
67,474;9,705
77,024;9,742
71,971;9,712
74,005;9,74
78,527;9,755
73,976;9,729
72,202;9,708
77,941;9,734
65,443;9,739
71,84;9,73
70,363;9,727
73,885;9,733
65,952;9,73
67,477;9,758
77,861;9,708
68,917;9,713
75,684;9,747
78,714;9,753
79,417;9,726
65,973;9,749
71,416;9,744
72,221;9,753
68,273;9,734
73,833;9,716
72,84;9,7
67,687;9,71
71,625;9,715
71,582;9,727
66,144;9,711
76,596;9,745
69,003;9,703
72,421;9,736
69,552;9,716
70,791;9,701
73,584;9,756
67,216;9,719
75,554;9,722
77,154;9,727
65,972;9,718
76,433;9,74
79,265;9,721
76,399;9,733
73,16;9,704
74,207;9,746
71,94;9,753
68,501;9,756
68,16;9,713
73,624;9,709
67,639;9,746
76,975;9,752
68,172;9,74
73,161;9,751
77,816;9,75
66,978;9,753
69,486;9,741
73,803;9,748
73,001;9,743
78,497;9,722
75,796;9,721
67,427;9,711
68,973;9,723
78,959;9,722
71,62;9,718
75,826;9,76
77,74;9,718
79,779;9,701
76,607;9,7
77,039;9,755
67,757;9,739
79,349;9,714
69,899;9,719
65,16;9,71
78,65;9,754
78,087;9,743
71,815;9,751
72,366;9,72
68,546;9,731
73,8;9,7
77,958;9,718
68,005;9,745
78,461;9,72
73,786;9,701
77,428;9,74
70,334;9,751
65,949;9,72
66,828;9,731
79,639;9,708
66,903;9,75
75,901;9,707
65,286;9,748
73,067;9,733
74,645;9,743
65,028;9,741
78,16;9,711
65,227;9,704
76,391;9,749
68,904;9,714
75,998;9,739
74,915;9,749
68,181;9,73
69,288;9,756
71,801;9,729
75,95;9,759
73,328;9,755
66,26;9,754
71,004;9,755
77,711;9,726
65,485;9,747
76,251;9,731
70,038;9,73
78,299;9,722
77,572;9,757
76,082;9,753
70,721;9,733
75,344;9,759
71,231;9,729
78,026;9,76
71,311;9,74
78,267;9,732
78,401;9,711
72,007;9,733
67,481;9,742
77,26;9,73
67,17;9,726
65,318;9,753
69,451;9,722
79,732;9,74
73,643;9,741
66,975;9,738
65,518;9,711
76,493;9,703
70,195;9,749
67,628;9,705
73,604;9,703
76,346;9,729
67,945;9,745
74,961;9,76
67,087;9,714
78,97;9,725
79,162;9,7
71,981;9,703
68,094;9,736
68,64;9,726
78,894;9,701
71,532;9,734
75,306;9,71
77,899;9,753
72,78;9,702
78,926;9,744
75,543;9,704
71,723;9,76
77,103;9,718
76,166;9,741
76,877;9,717
76,176;9,758
75,425;9,746
78,383;9,718
73,847;9,737
76,88;9,701
76,279;9,725
65,711;9,743
67,57;9,703
66,015;9,758
71,315;9,708
72,275;9,755
69,539;9,739
74,407;9,711
70,514;9,715
66,155;9,703
65,362;9,727
78,447;9,712
72,294;9,724
76,508;9,708
71,232;9,71
77,644;9,719
67,927;9,752
71,913;9,746
70,657;9,736
79,162;9,756
68,902;9,709
75,406;9,737
76,827;9,741
79,316;9,727
78,662;9,723
70,632;9,729
65,525;9,711
67,797;9,713
77,315;9,718
74,699;9,707
68,516;9,736
73,799;9,71
77,636;9,732
68,008;9,74
72,301;9,701
76,273;9,704
73,417;9,745
79,459;9,721
77,364;9,741
72,458;9,729
66,781;9,755
71,653;9,721
73,599;9,752
69,949;9,711
66,289;9,753
65,951;9,714
74,885;9,726
77,153;9,702
73,278;9,725
78,385;9,747
74,224;9,728
71,039;9,715
68,894;9,701
69,975;9,745
78,807;9,703
65,656;9,716
67,356;9,718
67,642;9,702
79,697;9,748
71,533;9,715
68,232;9,702
67,358;9,721
73,581;9,727
71,302;9,748
73,863;9,723
71,498;9,746
70,744;9,704
79,39;9,757
66,937;9,738
79,819;9,737
67,534;9,726
68,728;9,716
72,751;9,709
72,874;9,751
66,492;9,747
71,381;9,751
65,981;9,756
69,645;9,73
75,745;9,721
68,569;9,754
79,421;9,706
74,571;9,749
68,115;9,71
74,38;9,71
75,382;9,704
74,722;9,753
73,264;9,726
77,919;9,729
65,813;9,714
79,065;9,708
79,577;9,737
70,76;9,705
79,083;9,747
72,294;9,712
74,162;9,756
71,484;9,76
76,987;9,733
72,36;9,722
65,664;9,713
75,841;9,712
65,663;9,717
70,4;9,716
70,861;9,746
69,898;9,719
67,405;9,714
73,574;9,711
72,674;9,705
65,435;9,736
71,659;9,701
79,755;9,729
76,517;9,701
69,955;9,704
78,984;9,734
65,299;9,726
78,942;9,703
69,113;9,704
67,22;9,744
76,054;9,707
71,982;9,706
76,36;9,713
67,427;9,743
74,759;9,73
73,606;9,722
68,409;9,712
71,214;9,705
68,3;9,75
70,748;9,742
72,976;9,727
72,648;9,728
70,095;9,73
78,277;9,736
66,913;9,758
66,396;9,735
68,166;9,751
70,653;9,722
77,573;9,729
70,051;9,76
71,508;9,703
79,1;9,734
69,727;9,751
76,466;9,715
67,396;9,724
68,994;9,729
69,902;9,751
69,343;9,747
77,632;9,738
79,388;9,718
69,004;9,757
73,045;9,721
73,55;9,702
75,127;9,704
76,114;9,755
68,725;9,711
76,022;9,758
72,191;9,715
75,757;9,718
75,722;9,754
74,347;9,746
79,026;9,703
67,83;9,734
66,871;9,759
73,145;9,716
71,968;9,757
72,262;9,71
73,296;9,712
71,4;9,706
66,048;9,702
65,59;9,757
76,749;9,73
71,459;9,756
75,27;9,724
67,258;9,733
73,184;9,753
75,938;9,728
78,034;9,747
77,171;9,713
78,998;9,745
66,712;9,704
68,284;9,748
78,908;9,748
76,333;9,709
78,217;9,74
70,248;9,707
65,233;9,737
75,81;9,7
66,628;9,725
77,548;9,732
78,007;9,726
72,807;9,715
72,21;9,734
68,142;9,745
68,466;9,755
78,856;9,732
70,698;9,726
77,347;9,706
69,064;9,708
78,65;9,709
68,111;9,754
74,116;9,716
77,231;9,719
73,103;9,74
78,162;9,745
69,236;9,72
78,47;9,749
72,245;9,76
78;9,735
74,809;9,737
73,796;9,71
68,84;9,711
65,932;9,758
66,659;9,704
78,267;9,728
74,621;9,736
77,245;9,734
74,658;9,759
73,86;9,712
78,945;9,746
71,493;9,75
70,715;9,759
68,02;9,707
65,377;9,718
68,212;9,717
70,178;9,748
70,099;9,71
74,243;9,741
69,635;9,73
74,315;9,752
77,461;9,735
79,408;9,726
65,354;9,751
77,64;9,724
66,53;9,729
78,519;9,757
69,46;9,716
75,68;9,713
79,787;9,716
71,203;9,747
74,006;9,702
75,711;9,756
73,675;9,759
74,976;9,753
73,524;9,735
78,276;9,725
73,931;9,725
70,711;9,741
78,821;9,752
72,057;9,719
70,528;9,723
77,024;9,734
65,892;9,739
70,191;9,707
78,526;9,712
78,091;9,756
76,724;9,722
67,714;9,733
71,891;9,752
78,149;9,712
65,451;9,722
67,845;9,741
65,26;9,742
73,814;9,719
77,063;9,709
76,288;9,724
79,529;9,751
76,683;9,757
72,992;9,711
65,927;9,705
79,125;9,73
65,934;9,721
67,766;9,739
78,364;9,74
77,427;9,722
65,882;9,71
79,598;9,751
72,053;9,724
73,743;9,736
65,922;9,713
75,849;9,702
73,717;9,744
76,562;9,707
67,515;9,724
67,966;9,722
72,339;9,757
73,745;9,738
73,126;9,735
77,038;9,745
76,058;9,755
68,528;9,708
74,627;9,735
71,899;9,719
72,328;9,723
79,481;9,707
74,923;9,735
76,113;9,724
68,681;9,756
66,056;9,735
77,891;9,702
69,404;9,727
79,01;9,721
65,117;9,736
75,801;9,738
79,927;9,707
73,945;9,712
65,231;9,735
79,84;9,7
70,214;9,71
74,611;9,733
74,496;9,713
65,315;9,703
73,506;9,726
65,739;9,715
72,951;9,753
72,649;9,751
79,358;9,714
69,22;9,754
75,722;9,747
79,075;9,73
79,863;9,724
70,245;9,743
69,426;9,756
77,892;9,75
74,43;9,738
76,891;9,74
75,365;9,731
77,642;9,738
77,411;9,746
73,045;9,709
79,973;9,722
67,106;9,742
65,017;9,728
73,789;9,713
69,869;9,733
73,24;9,735
71,397;9,708
77,642;9,743
71,784;9,746
66,974;9,742
73,091;9,724
76,515;9,72
79,088;9,738
70,849;9,758
77,881;9,715
65,5;9,708
75,196;9,73
70,844;9,736
77,414;9,747
77,615;9,753
74,738;9,753
77,185;9,704
74,562;9,747
74,549;9,743
71,882;9,735
69,452;9,723
71,082;9,752
74,564;9,759
72,492;9,747
76,941;9,728
72,382;9,748
76,551;9,72
78,104;9,735
75,323;9,759
68,799;9,722
79,647;9,735
73,911;9,759
76,933;9,728
73,214;9,753
70,053;9,702
79,134;9,741
66,966;9,721
73,968;9,716
65,173;9,721
77,384;9,707
75,244;9,706
68,118;9,757
73,291;9,731
77,71;9,745
66,888;9,736
70,877;9,725
66,542;9,711
74,069;9,718
65,215;9,744
68,157;9,745
68,883;9,707
68,97;9,745
74,562;9,755
76,612;9,708
73,764;9,756
75,561;9,759
75,897;9,7
65,963;9,701
76,125;9,721
70,287;9,749
72,951;9,718
69,292;9,719
65,191;9,756
70,405;9,743
69,43;9,717
77,827;9,75
79,85;9,733
76,519;9,742
70,124;9,721
69,449;9,703
73,076;9,757
73,959;9,76
72,628;9,747
79,289;9,736
71,353;9,736
66,689;9,748
65,433;9,705
72,073;9,722
78,892;9,743
67,796;9,76
68,807;9,736
75,093;9,726
68,528;9,727
77,649;9,703
71,212;9,741
77,381;9,736
78,327;9,731
73,563;9,702
68,347;9,755
71,325;9,743
74,346;9,735
71,952;9,702
73,965;9,755
72,535;9,732
65,026;9,726
76,32;9,718
65,486;9,735
68,968;9,707
69,338;9,73
77,521;9,714
73,397;9,715
74,567;9,715
70,204;9,722
70,14;9,736
75,687;9,741
67,489;9,724
67,926;9,708
66,928;9,727
77,132;9,703
